codigo	matricula	fecha_matriculacion
1226135	0530HDP	40693
1225802	9949HDN	40693
1225840	9721HDN	40693
1225865	8167HDN	40693
1225850	1059HDP	40693
1225869	8462HDN	40693
1225827	1041HDP	40693
1391363	2107HDP	40693
1225857	0544HDP	40693
1387166	8165HDN	40693
1225794	4210HDM	40689
1225762	5068HDM	40689
1225871	7828HDM	40689
1225674	7333HDL	40688
1225672	7339HDL	40688
1225670	1560HDM	40688
1225700	6125HDL	40687
1225740	5973HDL	40687
1225580	3699HDL	40687
1225567	8872HDK	40686
1225565	8725HDK	40686
1225633	0112HDL	40686
1225562	6717HDK	40683
1225452	3461HDK	40683
1225514	4506HDK	40683
1225516	3520HDK	40683
1225502	1804HDK	40682
1225431	1125HDK	40682
1225455	9492HDJ	40682
1225457	5987HDJ	40681
1376618	3006HDJ	40681
1225277	0168HDJ	40680
1225421	1123HDJ	40680
1225221	4723HDH	40679
1225189	2931HDH	40676
1225210	2869HDH	40676
1225135	1950HDH	40676
1225180	1196HDH	40676
1436821	0535HDH	40676
1225193	8195HDG	40675
1225116	7775HDG	40675
1225050	5610HDG	40675
1225111	6140HDG	40675
1443240	4894HDG	40675
1225041	1067HDG	40674
1225104	3644HDG	40674
1225035	3252HDG	40674
1225055	9674HDF	40673
1424106	0126HDG	40673
1224968	5724HDF	40672
1224873	3849HDF	40672
1224866	4844HDF	40672
1225053	4362HDF	40672
1224953	5892HDF	40672
1224824	0248HDF	40669
1224767	1121HDF	40669
1224774	7072HDD	40668
1224807	9295HDD	40668
1224688	6298HDD	40668
1224818	7335HDD	40668
1467521	7117HDD	40668
1224769	9277HDD	40668
1468554	6763HDD	40668
1224762	5009HDD	40667
1224506	8783HDC	40666
1346502	1095HDD	40666
1438546	0136HDD	40666
1398336	1134HDD	40666
1518738	1117HDD	40666
1224642	0631HDD	40666
1224802	0374HDD	40666
1224675	0106HDD	40666
1224531	9641HDC	40666
1224476	0269HDC	40662
1224756	8364HDB	40662
1225084	3512HDC	40662
1224470	5116HDB	40661
1224606	4753HDB	40661
1224597	2544HDB	40661
1224480	6774HCZ	40660
1397594	8839HCZ	40660
1224391	6687HCZ	40660
1224345	3833HCZ	40659
1224474	5210HCZ	40659
1224192	3354HCZ	40659
1224411	3877HCZ	40659
1224130	1598HCZ	40658
1508009	8787HCY	40653
1224152	8941HCY	40653
1224084	5415HCY	40652
1224172	5050HCY	40652
1224097	2971HCY	40652
1224118	5025HCY	40652
1440012	4575HCY	40652
1223914	7271HCX	40651
1224050	9904HCX	40651
1224053	9541HCX	40651
1224109	7412HCX	40651
1224511	8496HCX	40651
1224659	9156HCX	40651
1223920	2018HCX	40648
1224472	0101HCX	40648
1223931	1667HCX	40648
1223958	4424HCX	40648
1223965	3046HCX	40648
1223929	1897HCX	40648
1223910	0107HCX	40648
1223967	5825HCW	40647
1339348	7760HCW	40647
1223890	8517HCW	40647
1223836	1827HCW	40646
1223678	0289HCW	40646
1223751	1748HCW	40646
1223841	1823HCW	40646
1223781	1031HCW	40646
1223825	2159HCW	40646
1223740	8709HCV	40646
1223756	2540HCW	40646
1224902	2195HCW	40646
1311732	2309HCW	40646
1223768	6974HCV	40645
1224028	7200HCV	40645
1223734	7027HCV	40645
1223731	7111HCV	40645
1223534	0125HCV	40644
1223648	9828HCT	40644
1223643	0041HCV	40644
1223521	1220HCV	40644
1223639	9891HCT	40644
1223492	3978HCT	40641
1223551	7392HCT	40641
1223430	4805HCT	40641
1223536	7478HCT	40641
1223488	9591HCS	40640
1223469	2538HCT	40640
1223724	2137HCT	40640
1223321	4690HCS	40639
1223242	4458HCS	40639
1223257	4867HCS	40639
1223384	7261HCS	40639
1223247	4624HCS	40639
1223941	7330HCS	40639
1223214	3370HCS	40639
1306981	5682HCS	40639
1223339	1110HCS	40638
1223143	8968HCR	40638
1223234	0833HCS	40638
1223326	1971HCS	40638
1223283	0735HCS	40638
1223150	5675HCR	40637
1223185	6446HCR	40637
1223152	6930HCR	40637
1428566	6004HCR	40637
1222997	0859HCR	40634
1223139	3774HCR	40634
1222984	0131HCP	40633
1223047	6393HCP	40633
1222979	0141HCP	40633
1223051	4623HCP	40633
1223045	6115HCP	40633
1222969	9200HCN	40633
1385770	1390HCP	40633
1222961	9181HCN	40633
1223002	5256HCN	40632
1222863	9918HCM	40632
1222891	5208HCM	40631
1222851	2563HCM	40631
1488659	3897HCM	40631
1482251	3298HCM	40631
1222788	0626HCM	40630
1222760	9041HCL	40630
1222731	4303HCL	40627
1222686	5422HCL	40627
1384116	5963HCL	40627
1222758	0604HCL	40626
1223853	3401HCK	40625
1222660	2356HCK	40625
1222636	2108HCK	40625
1222733	4266HCK	40625
1222595	1369HCK	40625
1222572	2429HCK	40625
1222656	9223HCJ	40624
1222555	6316HCJ	40624
1385263	9034HCJ	40624
1222510	7477HCJ	40624
1222470	6320HCJ	40624
1222610	9149HCJ	40624
1222564	9225HCJ	40624
1222599	7514HCJ	40624
1222588	9232HCJ	40624
1222410	2227HCJ	40623
1222336	2605HCJ	40623
1222435	4146HCJ	40623
1222440	3428HCJ	40623
1222437	3475HCJ	40623
1222356	3309HCJ	40623
1333279	3106HCJ	40623
1222405	7677HCH	40620
1342405	9142HCH	40620
1222446	8028HCH	40620
