Codigo	Matricula	Fecha Matriculacion	Marca	Modelo	Tipo	Variante	Clasificacion medioambiental	Combustible	Cilindrada	Potencia	Numero de Plazas	Fecha inicio de prestacion del servicio de taxi	Eurotaxi	Regimen Especial de Eurotaxi	Fecha inicio Regimen Especial Eurotaxi	Fecha fin Regimen Especial Eurotaxi	Fecha
1524748	1464KPS	1/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	3/10/18	NO	NO			3/11/18
1524783	1504KPS	1/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	5/10/18	NO	NO			3/11/18
1525030	4110KPS	1/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	5/10/18	NO	NO			3/11/18
1524760	2047KPS	1/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	3/10/18	NO	NO			3/11/18
1525032	3466KPS	1/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	10/10/18	NO	NO			3/11/18
1524746	1442KPS	1/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	3/10/18	NO	NO			3/11/18
1525252	9814KPR	28/9/18	CITROEN	CITROEN C-ELYSEE eco-glv	F	FECE	ECO	GLP / GASOLINA	1587	85	5	10/10/18	NO	NO			3/11/18
1524769	9539KPR	28/9/18	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	3/10/18	NO	NO			3/11/18
1524687	8413KPR	28/9/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	5/10/18	NO	NO			3/11/18
1524635	3128KPP	28/9/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	3/10/18	NO	NO			3/11/18
1524735	9728KPP	28/9/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	3/10/18	NO	NO			3/11/18
1524921	4289KPP	28/9/18	FORD	MONDEO HIBRIDO	BA7-HEV	UACC1DZ	ECO	GASOLINA-ELECTRICIDAD	1999	103	5	5/10/18	NO	NO			3/11/18
1525454	3949KPP	28/9/18	SSANGYONG	XLV	XK	BV2L	ECO	GASOLINA TRANSFORMADO GLP	1597	94.1	5	15/10/18	NO	NO			3/11/18
1524785	3537KPP	28/9/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	5/10/18	NO	NO			3/11/18
1524742	0515KPP	27/9/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	3/10/18	NO	NO			3/11/18
1524737	0153KPP	27/9/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	10/10/18	NO	NO			3/11/18
1524752	0239KPP	27/9/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	10/10/18	NO	NO			3/11/18
1524568	0453KPN	27/9/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	3/10/18	NO	NO			3/11/18
1524744	1334KPN	27/9/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	3/10/18	NO	NO			3/11/18
