Codigo	Matricula
1507812	7402KJB
1507793	2560KJC
1507700	4903KJB
1507805	2625KJB
1507776	4074KJB
1507698	2475KJB
1507695	6849KJB
1507803	6258KJB
1508047	0589KJB
1508760	1293KJB
1507510	5344KHZ
1507801	7957KHZ
1507711	7563KHZ
1508255	2795KHZ
1507445	3111KHZ
1507458	0684KHZ
1507525	3071KHZ
1507455	3564KHZ
1507443	0190KHZ
1507438	0275KHZ
1507435	0065KHZ
1507632	1835KHZ
1507440	0042KHZ
1507452	9748KHY
1507522	3140KHZ
1507460	0082KHZ
1508354	1518KHZ
1507897	3061KHX
1507645	6267KHX
1508757	5384KHY
1507287	6320KHX
1507281	6852KHX
1507285	6624KHX
1507326	8820KHW
1507323	8657KHW
1507447	6275KHY
1507303	9020KHW
1507293	9959KHW
1508245	2579KHY
1507272	4762KHV
1507808	3475KHW
1507320	4098KHV
1507283	8140KHV
1507596	1476KHV
1508239	5631KHW
1508055	5425KHW
1507180	6347KHT
1507309	4493KHT
1507312	8337KHT
1507517	7290KHT
1507654	5844KHT
1507145	5781KHT
1507170	7244KHT
1508904	2966KHT
1507154	0949KHT
1507168	2677KHT
1507789	1618KHS
1507085	1845KHS
1507650	5060KHS
1507162	1949KHS
1507166	1037KHS
1507449	4005KHS
1507009	6073KHS
1507091	8894KHS
1507156	7873KHS
1507431	0957KHS
1508058	8753KHS
1507003	7729KHR
1507305	8315KHR
1506992	2635KHR
1507097	2722KHR
1507093	1097KHR
1507147	3883KHR
1507087	2494KHR
1506984	8759KHR
1506994	2553KHR
1507785	3530KHP
1506896	8714KHP
1506886	5217KHP
1507176	4783KHP
1506987	7347KHP
1506906	4834KHP
