codigo	matricula	fecha_matriculacion	marca	modelo	tipo	variante	clasificacion_medioambiental	combustible	cilindrada	potencia	numero_plazas	fecha_inicio_prestacion_servicio	eurotaxi	regimen_especial_eurotaxi	fecha_ini_reg_esp_eur	fecha_fin_reg_esp_eur	fecha_informe	
1161940	3456GRX	2009-11-24	VOLKSWAGEN	PASSAT	3C	AACBABX0/FD6******	B	DIESEL	1968	103	5	2009-11-25	FALSE	FALSE			2018-11-03	
1161846	7325GRW	2009-11-23	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-11-24	FALSE	FALSE			2018-11-03	
1161847	4164GRW	2009-11-20	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-11-24	FALSE	FALSE			2018-11-03	
1161695	7413GRV	2009-11-19	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-11-20	FALSE	FALSE			2018-11-03	
1161636	0726GRV	2009-11-18	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-11-20	FALSE	FALSE			2018-11-03	
1161610	0360GRV	2009-11-18	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-11-19	FALSE	FALSE			2018-11-03	
1161594	6186GRT	2009-11-17	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-11-19	FALSE	FALSE			2018-11-03	
1161465	2418GRT	2009-11-16	SEAT	ALTEA XL	5P	ACBXEX01/SGNFM5	B	DIESEL	1896	77	5	2009-11-18	FALSE	FALSE			2018-11-03	
1161445	2856GRT	2009-11-16	SEAT	ALTEA XL	5P	ACBSEX01/SGNFM5	C	GASOLINA TRANSFORMADO GLP	1595	75	5	2009-11-18	FALSE	FALSE			2018-11-03	
1161432	8292GRS	2009-11-13	SEAT	ALTEA XL	5P	ACBXEX01/SGNFM5	B	DIESEL	1896	77	5	2009-11-18	FALSE	FALSE			2018-11-03	
1161178	3159GRS	2009-11-12	SKODA	SUPERB	3T	AABMPX01/EFM6*******	B	DIESEL	1968	103	5	2009-11-13	FALSE	FALSE			2018-11-03	
1161017	3383GRR	2009-11-10	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-11-11	FALSE	FALSE			2018-11-03	
1161004	7834GRP	2009-11-06	SEAT	ALTEA XL	5P	ACBSEX01/SGFM5********	C	GASOLINA TRANSFORMADO GLP	1595	75	5	2009-11-11	FALSE	FALSE			2018-11-03	
1160740	7583GRN	2009-11-04	SKODA	OCTAVIA	1Z	AABSEX01/NFM5********	C	GASOLINA TRANSFORMADO GLP	1595	75	5	2009-11-05	FALSE	FALSE			2018-11-03	
1160627	9740GRM	2009-11-02	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-11-04	FALSE	FALSE			2018-11-03	
1160634	7686GRM	2009-11-02	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-11-04	FALSE	FALSE			2018-11-03	
1160297	9475GRK	2009-10-29	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-10-30	FALSE	FALSE			2018-11-03	
1160290	8349GRK	2009-10-29	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-10-30	FALSE	FALSE			2018-11-03	
